SDate,CUSIP,Symbol,Price
20080930,02376R102,AAL,
20081115,02376R102,AAL,
20081231,02376R102,AAL,
20090215,02376R102,AAL,
20090331,02376R102,AAL,
20090515,02376R102,AAL,
20090630,02376R102,AAL,
20090815,02376R102,AAL,
20090930,02376R102,AAL,
20091115,02376R102,AAL,
20091231,02376R102,AAL,
20100215,02376R102,AAL,
20100331,02376R102,AAL,
20100515,02376R102,AAL,
20100630,02376R102,AAL,
20100815,02376R102,AAL,
20100930,02376R102,AAL,
20101115,02376R102,AAL,
20101231,02376R102,AAL,
20110215,02376R102,AAL,
20110331,02376R102,AAL,
20110515,02376R102,AAL,
20110630,02376R102,AAL,
20110815,02376R102,AAL,
20110930,02376R102,AAL,
20111115,02376R102,AAL,
20111231,02376R102,AAL,
20120215,02376R102,AAL,
20120331,02376R102,AAL,
20120515,02376R102,AAL,
20120630,02376R102,AAL,
20120815,02376R102,AAL,
20120930,02376R102,AAL,
20121115,02376R102,AAL,
20121231,02376R102,AAL,
20130215,02376R102,AAL,
20130331,02376R102,AAL,
20130515,02376R102,AAL,
20130630,02376R102,AAL,
20130815,02376R102,AAL,
20130930,02376R102,AAL,
20131115,02376R102,AAL,
20131231,02376R102,AAL,25.015
20140215,02376R102,AAL,34.72
20140331,02376R102,AAL,36.6
20140515,02376R102,AAL,38.19
20140630,02376R102,AAL,42.96
20140815,02376R102,AAL,39.443333333333335
20140930,02376R102,AAL,35.48
20141115,02376R102,AAL,44.04666666666667
20141231,02376R102,AAL,53.525000000000006
20150215,02376R102,AAL,48.230000000000004
20150331,02376R102,AAL,52.78
20150515,02376R102,AAL,48.77
20150630,02376R102,AAL,39.275
20150815,02376R102,AAL,42.81
20150930,02376R102,AAL,38.83
20151115,02376R102,AAL,43.45
20151231,02376R102,AAL,42.97571428571429
20160215,02376R102,AAL,37.82
20160331,02376R102,AAL,41.01
20160515,02376R102,AAL,31.51
20160630,02376R102,AAL,28.31
20160815,02376R102,AAL,36.053333333333335
20160930,02376R102,AAL,36.083333333333336
20161115,02376R102,AAL,44.76
20161231,02376R102,AAL,47.33
20170215,02376R102,AAL,47.26
20170331,02376R102,AAL,42.46
20170515,02376R102,AAL,46.68
20170630,02376R102,AAL,49.31
20170815,02376R102,AAL,47.88333333333333
20170930,02376R102,AAL,47.33
20171115,02376R102,AAL,47.19
20171231,02376R102,AAL,52.44384615384616
20180215,02376R102,AAL,51.67
20180331,02376R102,AAL,51.682500000000005
20180515,02376R102,AAL,43.19
20180630,02376R102,AAL,38.04
20180815,02376R102,AAL,37.70333333333333
20180930,02376R102,AAL,41.33
20181115,02376R102,AAL,37.82
20181231,02376R102,AAL,31.97
20190215,02376R102,AAL,35.982
20190331,02376R102,AAL,31.9875
20190515,02376R102,AAL,32.16
20190630,02376R102,AAL,32.697500000000005
20190815,02376R102,AAL,
20190930,02376R102,AAL,
20191115,02376R102,AAL,
20191231,02376R102,AAL,
20200215,02376R102,AAL,
20200331,02376R102,AAL,
20200515,02376R102,AAL,
20200630,02376R102,AAL,
20200815,02376R102,AAL,
20200930,02376R102,AAL,
20201115,02376R102,AAL,
20010215,00751Y106,AAP,
20010331,00751Y106,AAP,
20010515,00751Y106,AAP,
20010630,00751Y106,AAP,
20010815,00751Y106,AAP,
20010930,00751Y106,AAP,
20011115,00751Y106,AAP,
20011231,00751Y106,AAP,
20020215,00751Y106,AAP,
20020331,00751Y106,AAP,
20020515,00751Y106,AAP,
20020630,00751Y106,AAP,
20020815,00751Y106,AAP,
20020930,00751Y106,AAP,
20021115,00751Y106,AAP,
20021231,00751Y106,AAP,
20030215,00751Y106,AAP,
20030331,00751Y106,AAP,
20030515,00751Y106,AAP,
20030630,00751Y106,AAP,
20030815,00751Y106,AAP,
20030930,00751Y106,AAP,
20031115,00751Y106,AAP,
20031231,00751Y106,AAP,
20040215,00751Y106,AAP,
20040331,00751Y106,AAP,
20040515,00751Y106,AAP,
20040630,00751Y106,AAP,
20040815,00751Y106,AAP,
20040930,00751Y106,AAP,
20041115,00751Y106,AAP,
20041231,00751Y106,AAP,
20050215,00751Y106,AAP,
20050331,00751Y106,AAP,
20050515,00751Y106,AAP,
20050630,00751Y106,AAP,
20050815,00751Y106,AAP,
20050930,00751Y106,AAP,
20051115,00751Y106,AAP,
20051231,00751Y106,AAP,
20060215,00751Y106,AAP,
20060331,00751Y106,AAP,
20060515,00751Y106,AAP,
20060630,00751Y106,AAP,
20060815,00751Y106,AAP,
20060930,00751Y106,AAP,
20061115,00751Y106,AAP,
20061231,00751Y106,AAP,
20070215,00751Y106,AAP,
20070331,00751Y106,AAP,
20070515,00751Y106,AAP,40.78457142857143
20070630,00751Y106,AAP,40.638000000000005
20070815,00751Y106,AAP,32.804117647058824
20070930,00751Y106,AAP,33.38870967741936
20071115,00751Y106,AAP,35.613749999999996
20071231,00751Y106,AAP,36.486
20080215,00751Y106,AAP,33.6252
20080331,00751Y106,AAP,33.864375
20080515,00751Y106,AAP,37.55578125
20080630,00751Y106,AAP,39.21
20080815,00751Y106,AAP,44.17928571428572
20080930,00751Y106,AAP,39.66
20081115,00751Y106,AAP,27.205
20081231,00751Y106,AAP,33.236
20090215,00751Y106,AAP,32.865
20090331,00751Y106,AAP,41.08
20090515,00751Y106,AAP,40.209999999999994
20090630,00751Y106,AAP,41.49
20090815,00751Y106,AAP,43.19
20090930,00751Y106,AAP,38.93333333333333
20091115,00751Y106,AAP,39.25
20091231,00751Y106,AAP,40.8775
20100215,00751Y106,AAP,42.81
20100331,00751Y106,AAP,42.256
20100515,00751Y106,AAP,45.165
20100630,00751Y106,AAP,50.18
20100815,00751Y106,AAP,54.26
20100930,00751Y106,AAP,59.42
20101115,00751Y106,AAP,65.21
20101231,00751Y106,AAP,66.53
20110215,00751Y106,AAP,63.53
20110331,00751Y106,AAP,65.62
20110515,00751Y106,AAP,72.16
20110630,00751Y106,AAP,58.49
20110815,00751Y106,AAP,56.36
20110930,00751Y106,AAP,58.7
20111115,00751Y106,AAP,68.45
20111231,00751Y106,AAP,69.99
20120215,00751Y106,AAP,79.4
20120331,00751Y106,AAP,88.424
20120515,00751Y106,AAP,81.08
20120630,00751Y106,AAP,67.38333333333333
20120815,00751Y106,AAP,71.11
20120930,00751Y106,AAP,68.44
20121115,00751Y106,AAP,77.5
20121231,00751Y106,AAP,72.10666666666667
20130215,00751Y106,AAP,79.12142857142857
20130331,00751Y106,AAP,81.59
20130515,00751Y106,AAP,86.4
20130630,00751Y106,AAP,81.462
20130815,00751Y106,AAP,81.88
20130930,00751Y106,AAP,82.68
20131115,00751Y106,AAP,99.03333333333333
20131231,00751Y106,AAP,110.17166666666667
20140215,00751Y106,AAP,126.47200000000001
20140331,00751Y106,AAP,126.5
20140515,00751Y106,AAP,124.23
20140630,00751Y106,AAP,134.92
20140815,00751Y106,AAP,132.076
20140930,00751Y106,AAP,130.3
20141115,00751Y106,AAP,145.20666666666668
20141231,00751Y106,AAP,159.655
20150215,00751Y106,AAP,154.28333333333333
20150331,00751Y106,AAP,149.69
20150515,00751Y106,AAP,150.4466666666667
20150630,00751Y106,AAP,159.29
20150815,00751Y106,AAP,187.28333333333333
20150930,00751Y106,AAP,189.53
20151115,00751Y106,AAP,161.62
20151231,00751Y106,AAP,151.1775
20160215,00751Y106,AAP,142.9325
20160331,00751Y106,AAP,160.34
20160515,00751Y106,AAP,146.905
20160630,00751Y106,AAP,161.63
20160815,00751Y106,AAP,160.93666666666667
20160930,00751Y106,AAP,149.06
20161115,00751Y106,AAP,164.33
20161231,00751Y106,AAP,170.51
20170215,00751Y106,AAP,162.739
20170331,00751Y106,AAP,146.08
20170515,00751Y106,AAP,145.40166666666667
20170630,00751Y106,AAP,116.23
20170815,00751Y106,AAP,87.08
20170930,00751Y106,AAP,99.3
20171115,00751Y106,AAP,88.18
20171231,00751Y106,AAP,99.706
20180215,00751Y106,AAP,109.783
20180331,00751Y106,AAP,117.842
20180515,00751Y106,AAP,121.06166666666667
20180630,00751Y106,AAP,134.572
20180815,00751Y106,AAP,156.84799999999998
20180930,00751Y106,AAP,168.956
20181115,00751Y106,AAP,176.655
20181231,00751Y106,AAP,156.906
20190215,00751Y106,AAP,167.872
20190331,00751Y106,AAP,170.53
20190515,00751Y106,AAP,155.83
20190630,00751Y106,AAP,154.14
20190815,00751Y106,AAP,
20190930,00751Y106,AAP,
20191115,00751Y106,AAP,
20191231,00751Y106,AAP,
20200215,00751Y106,AAP,
20200331,00751Y106,AAP,
20200515,00751Y106,AAP,
20200630,00751Y106,AAP,
20200815,00751Y106,AAP,
20200930,00751Y106,AAP,
20201115,00751Y106,AAP,
20010215,037833100,AAPL,
20010331,037833100,AAPL,
20010515,037833100,AAPL,
20010630,037833100,AAPL,
20010815,037833100,AAPL,
20010930,037833100,AAPL,
20011115,037833100,AAPL,
20011231,037833100,AAPL,
20020215,037833100,AAPL,
20020331,037833100,AAPL,
20020515,037833100,AAPL,
20020630,037833100,AAPL,
20020815,037833100,AAPL,
20020930,037833100,AAPL,
20021115,037833100,AAPL,
20021231,037833100,AAPL,
20030215,037833100,AAPL,
20030331,037833100,AAPL,
20030515,037833100,AAPL,
20030630,037833100,AAPL,
20030815,037833100,AAPL,
20030930,037833100,AAPL,
20031115,037833100,AAPL,
20031231,037833100,AAPL,
20040215,037833100,AAPL,
20040331,037833100,AAPL,
20040515,037833100,AAPL,
20040630,037833100,AAPL,
20040815,037833100,AAPL,
20040930,037833100,AAPL,
20041115,037833100,AAPL,
20041231,037833100,AAPL,
20050215,037833100,AAPL,
20050331,037833100,AAPL,
20050515,037833100,AAPL,
20050630,037833100,AAPL,
20050815,037833100,AAPL,
20050930,037833100,AAPL,
20051115,037833100,AAPL,
20051231,037833100,AAPL,
20060215,037833100,AAPL,
20060331,037833100,AAPL,
20060515,037833100,AAPL,
20060630,037833100,AAPL,
20060815,037833100,AAPL,
20060930,037833100,AAPL,
20061115,037833100,AAPL,
20061231,037833100,AAPL,
20070215,037833100,AAPL,
20070331,037833100,AAPL,
20070515,037833100,AAPL,107.52
20070630,037833100,AAPL,122.76333333333334
20070815,037833100,AAPL,119.9
20070930,037833100,AAPL,157.81666666666666
20071115,037833100,AAPL,169.171
20071231,037833100,AAPL,191.102
20080215,037833100,AAPL,124.745
20080331,037833100,AAPL,144.50333333333333
20080515,037833100,AAPL,189.076
20080630,037833100,AAPL,170.68454545454546
20080815,037833100,AAPL,178.12666666666667
20080930,037833100,AAPL,113.66
20081115,037833100,AAPL,92.30666666666666
20081231,037833100,AAPL,87.182
20090215,037833100,AAPL,99.1875
20090331,037833100,AAPL,106.59
20090515,037833100,AAPL,122.77333333333334
20090630,037833100,AAPL,142.43
20090815,037833100,AAPL,167.32666666666665
20090930,037833100,AAPL,185.37
20091115,037833100,AAPL,204.45
20091231,037833100,AAPL,210.79333333333332
20100215,037833100,AAPL,200.38
20100331,037833100,AAPL,234.93
20100515,037833100,AAPL,255.33333333333334
20100630,037833100,AAPL,251.53
20100815,037833100,AAPL,249.1
20100930,037833100,AAPL,283.75
20101115,037833100,AAPL,307.41
20101231,037833100,AAPL,323.29333333333335
20110215,037833100,AAPL,359.94
20110331,037833100,AAPL,348.45
20110515,037833100,AAPL,340.312
20110630,037833100,AAPL,335.87800000000004
20110815,037833100,AAPL,383.41
20110930,037833100,AAPL,387.44
20111115,037833100,AAPL,388.83
20111231,037833100,AAPL,405.06
20120215,037833100,AAPL,497.67
20120331,037833100,AAPL,602.9333333333334
20120515,037833100,AAPL,553.17
20120630,037833100,AAPL,579.0166666666667
20120815,037833100,AAPL,630.83
20120930,037833100,AAPL,667.26
20121115,037833100,AAPL,534.6274999999999
20121231,037833100,AAPL,529.4359999999999
20130215,037833100,AAPL,465.005
20130331,037833100,AAPL,437.2933333333333
20130515,037833100,AAPL,428.98
20130630,037833100,AAPL,396.08
20130815,037833100,AAPL,499.4575
20130930,037833100,AAPL,476.75
20131115,037833100,AAPL,527.1333333333333
20131231,037833100,AAPL,557.815
20140215,037833100,AAPL,544.21
20140331,037833100,AAPL,536.74
20140515,037833100,AAPL,588.82
20140630,037833100,AAPL,92.93
20140815,037833100,AAPL,97.66
20140930,037833100,AAPL,100.75
20141115,037833100,AAPL,113.72666666666667
20141231,037833100,AAPL,111.44999999999999
20150215,037833100,AAPL,126.925
20150331,037833100,AAPL,124.43
20150515,037833100,AAPL,128.89
20150630,037833100,AAPL,125.43
20150815,037833100,AAPL,115.69
20150930,037833100,AAPL,110.3
20151115,037833100,AAPL,112.34
20151231,037833100,AAPL,106.80499999999999
20160215,037833100,AAPL,93.99
20160331,037833100,AAPL,108.99
20160515,037833100,AAPL,90.52
20160630,037833100,AAPL,95.6
20160815,037833100,AAPL,109.48
20160930,037833100,AAPL,112.47
20161115,037833100,AAPL,107.11
20161231,037833100,AAPL,116.498
20170215,037833100,AAPL,135.185
20170331,037833100,AAPL,143.8725
20170515,037833100,AAPL,155.7
20170630,037833100,AAPL,143.79333333333335
20170815,037833100,AAPL,161.6
20170930,037833100,AAPL,153.84
20171115,037833100,AAPL,171.22
20171231,037833100,AAPL,171.53142857142856
20180215,037833100,AAPL,168.382
20180331,037833100,AAPL,167.45499999999998
20180515,037833100,AAPL,186.44
20180630,037833100,AAPL,186.34
20180815,037833100,AAPL,210.24
20180930,037833100,AAPL,225.74
20181115,037833100,AAPL,188.48250000000002
20181231,037833100,AAPL,156.985
20190215,037833100,AAPL,170.705
20190331,037833100,AAPL,189.95
20190515,037833100,AAPL,190.92
20190630,037833100,AAPL,197.92
20190815,037833100,AAPL,
20190930,037833100,AAPL,
20191115,037833100,AAPL,
20191231,037833100,AAPL,
20200215,037833100,AAPL,
20200331,037833100,AAPL,
20200515,037833100,AAPL,
20200630,037833100,AAPL,
20200815,037833100,AAPL,
20200930,037833100,AAPL,
20201115,037833100,AAPL,
20010215,00287Y109,ABBV,
20010331,00287Y109,ABBV,
20010515,00287Y109,ABBV,
20010630,00287Y109,ABBV,
20010815,00287Y109,ABBV,
20010930,00287Y109,ABBV,
20011115,00287Y109,ABBV,
20011231,00287Y109,ABBV,
20020215,00287Y109,ABBV,
20020331,00287Y109,ABBV,
20020515,00287Y109,ABBV,
20020630,00287Y109,ABBV,
20020815,00287Y109,ABBV,
20020930,00287Y109,ABBV,
20021115,00287Y109,ABBV,
20021231,00287Y109,ABBV,
20030215,00287Y109,ABBV,
20030331,00287Y109,ABBV,
20030515,00287Y109,ABBV,
20030630,00287Y109,ABBV,
20030815,00287Y109,ABBV,
20030930,00287Y109,ABBV,
20031115,00287Y109,ABBV,
20031231,00287Y109,ABBV,
20040215,00287Y109,ABBV,
20040331,00287Y109,ABBV,
20040515,00287Y109,ABBV,
20040630,00287Y109,ABBV,
20040815,00287Y109,ABBV,
20040930,00287Y109,ABBV,
20041115,00287Y109,ABBV,
20041231,00287Y109,ABBV,
20050215,00287Y109,ABBV,
20050331,00287Y109,ABBV,
20050515,00287Y109,ABBV,
20050630,00287Y109,ABBV,
20050815,00287Y109,ABBV,
20050930,00287Y109,ABBV,
20051115,00287Y109,ABBV,
20051231,00287Y109,ABBV,
20060215,00287Y109,ABBV,
20060331,00287Y109,ABBV,
20060515,00287Y109,ABBV,
20060630,00287Y109,ABBV,
20060815,00287Y109,ABBV,
20060930,00287Y109,ABBV,
20061115,00287Y109,ABBV,
20061231,00287Y109,ABBV,
20070215,00287Y109,ABBV,
20070331,00287Y109,ABBV,
20070515,00287Y109,ABBV,
20070630,00287Y109,ABBV,
20070815,00287Y109,ABBV,
20070930,00287Y109,ABBV,
20071115,00287Y109,ABBV,
20071231,00287Y109,ABBV,
20080215,00287Y109,ABBV,
20080331,00287Y109,ABBV,
20080515,00287Y109,ABBV,
20080630,00287Y109,ABBV,
20080815,00287Y109,ABBV,
20080930,00287Y109,ABBV,
20081115,00287Y109,ABBV,
20081231,00287Y109,ABBV,
20090215,00287Y109,ABBV,
20090331,00287Y109,ABBV,
20090515,00287Y109,ABBV,
20090630,00287Y109,ABBV,
20090815,00287Y109,ABBV,
20090930,00287Y109,ABBV,
20091115,00287Y109,ABBV,
20091231,00287Y109,ABBV,
20100215,00287Y109,ABBV,
20100331,00287Y109,ABBV,
20100515,00287Y109,ABBV,
20100630,00287Y109,ABBV,
20100815,00287Y109,ABBV,
20100930,00287Y109,ABBV,
20101115,00287Y109,ABBV,
20101231,00287Y109,ABBV,
20110215,00287Y109,ABBV,
20110331,00287Y109,ABBV,
20110515,00287Y109,ABBV,
20110630,00287Y109,ABBV,
20110815,00287Y109,ABBV,
20110930,00287Y109,ABBV,
20111115,00287Y109,ABBV,
20111231,00287Y109,ABBV,
20120215,00287Y109,ABBV,
20120331,00287Y109,ABBV,
20120515,00287Y109,ABBV,
20120630,00287Y109,ABBV,
20120815,00287Y109,ABBV,
20120930,00287Y109,ABBV,
20121115,00287Y109,ABBV,
20121231,00287Y109,ABBV,
20130215,00287Y109,ABBV,36.8225
20130331,00287Y109,ABBV,40.5175
20130515,00287Y109,ABBV,45.78
20130630,00287Y109,ABBV,41.99
20130815,00287Y109,ABBV,43.21
20130930,00287Y109,ABBV,44.73
20131115,00287Y109,ABBV,48.2475
20131231,00287Y109,ABBV,52.91
20140215,00287Y109,ABBV,50.794000000000004
20140331,00287Y109,ABBV,51.4
20140515,00287Y109,ABBV,52.69
20140630,00287Y109,ABBV,56.84
20140815,00287Y109,ABBV,54.093333333333334
20140930,00287Y109,ABBV,57.76
20141115,00287Y109,ABBV,63.876666666666665
20141231,00287Y109,ABBV,65.87
20150215,00287Y109,ABBV,57.8
20150331,00287Y109,ABBV,58.54
20150515,00287Y109,ABBV,65.97666666666666
20150630,00287Y109,ABBV,67.19
20150815,00287Y109,ABBV,68.61333333333334
20150930,00287Y109,ABBV,54.41
20151115,00287Y109,ABBV,59.86
20151231,00287Y109,ABBV,59.66
20160215,00287Y109,ABBV,52.58
20160331,00287Y109,ABBV,57.12
20160515,00287Y109,ABBV,62.0
20160630,00287Y109,ABBV,61.91
20160815,00287Y109,ABBV,66.965
20160930,00287Y109,ABBV,62.903333333333336
20161115,00287Y109,ABBV,62.87
20161231,00287Y109,ABBV,62.675
20170215,00287Y109,ABBV,61.15
20170331,00287Y109,ABBV,65.39
20170515,00287Y109,ABBV,66.455
20170630,00287Y109,ABBV,72.49000000000001
20170815,00287Y109,ABBV,70.34
20170930,00287Y109,ABBV,88.158
20171115,00287Y109,ABBV,94.61
20171231,00287Y109,ABBV,99.79235294117647
20180215,00287Y109,ABBV,114.9
20180331,00287Y109,ABBV,94.555
20180515,00287Y109,ABBV,104.18
20180630,00287Y109,ABBV,92.71666666666667
20180815,00287Y109,ABBV,97.45
20180930,00287Y109,ABBV,94.58
20181115,00287Y109,ABBV,89.11500000000001
20181231,00287Y109,ABBV,91.734
20190215,00287Y109,ABBV,80.52
20190331,00287Y109,ABBV,80.575
20190515,00287Y109,ABBV,78.78
20190630,00287Y109,ABBV,72.32000000000001
20190815,00287Y109,ABBV,
20190930,00287Y109,ABBV,
20191115,00287Y109,ABBV,
20191231,00287Y109,ABBV,
20200215,00287Y109,ABBV,
20200331,00287Y109,ABBV,
20200515,00287Y109,ABBV,
20200630,00287Y109,ABBV,
20200815,00287Y109,ABBV,
20200930,00287Y109,ABBV,
20201115,00287Y109,ABBV,
20010215,03073E105,ABC,
20010331,03073E105,ABC,
20010515,03073E105,ABC,
20010630,03073E105,ABC,
20010815,03073E105,ABC,
20010930,03073E105,ABC,
20011115,03073E105,ABC,
20011231,03073E105,ABC,
20020215,03073E105,ABC,
20020331,03073E105,ABC,
20020515,03073E105,ABC,
20020630,03073E105,ABC,
20020815,03073E105,ABC,
20020930,03073E105,ABC,
20021115,03073E105,ABC,
20021231,03073E105,ABC,
20030215,03073E105,ABC,
20030331,03073E105,ABC,
20030515,03073E105,ABC,
20030630,03073E105,ABC,
20030815,03073E105,ABC,
20030930,03073E105,ABC,
20031115,03073E105,ABC,
20031231,03073E105,ABC,
20040215,03073E105,ABC,
20040331,03073E105,ABC,
20040515,03073E105,ABC,
20040630,03073E105,ABC,
20040815,03073E105,ABC,
20040930,03073E105,ABC,
20041115,03073E105,ABC,
20041231,03073E105,ABC,
20050215,03073E105,ABC,
20050331,03073E105,ABC,
20050515,03073E105,ABC,
20050630,03073E105,ABC,
20050815,03073E105,ABC,
20050930,03073E105,ABC,
20051115,03073E105,ABC,
20051231,03073E105,ABC,
20060215,03073E105,ABC,
20060331,03073E105,ABC,
20060515,03073E105,ABC,
20060630,03073E105,ABC,
20060815,03073E105,ABC,
20060930,03073E105,ABC,
20061115,03073E105,ABC,
20061231,03073E105,ABC,
20070215,03073E105,ABC,
20070331,03073E105,ABC,
20070515,03073E105,ABC,51.686190476190475
20070630,03073E105,ABC,50.30444444444444
20070815,03073E105,ABC,45.67583333333334
20070930,03073E105,ABC,45.33
20071115,03073E105,ABC,44.11714285714286
20071231,03073E105,ABC,45.365
20080215,03073E105,ABC,44.16461538461539
20080331,03073E105,ABC,41.60872340425532
20080515,03073E105,ABC,41.40090909090909
20080630,03073E105,ABC,39.60168674698795
20080815,03073E105,ABC,40.22795180722892
20080930,03073E105,ABC,37.65
20081115,03073E105,ABC,30.083333333333332
20081231,03073E105,ABC,35.525
20090215,03073E105,ABC,37.472500000000004
20090331,03073E105,ABC,32.66
20090515,03073E105,ABC,35.483333333333334
20090630,03073E105,ABC,18.155
20090815,03073E105,ABC,20.44
