Ticker,Type,Contract_Name,Last_Trade_Date,Strike,Last_Price,Bid,Ask,Change,Pct_Change,Volume,Open_Interest,Implied_Volatility,Ticker_Price,Avg_Price,Likely_Price,Profit_Pct,Flag
BBL,Put,BBL210319P00030000,2020-11-16 3:40PM EST,30.0,0.25,0.0,1.55,0.0,-,1,13,163.28%,59.07,0.775,0.25,0.008333333333333333,no
BBL,Put,BBL210319P00035000,2020-12-31 9:56AM EST,35.0,0.2,0.0,0.65,0.0,-,1,88,107.62%,59.07,0.325,0.2,0.005714285714285714,no
BBL,Put,BBL210319P00040000,2020-12-10 3:03PM EST,40.0,0.6,0.05,0.35,0.0,-,1,1441,76.07%,59.07,0.2,0.2,0.004999999999999999,no
BBL,Put,BBL210319P00045000,2021-02-05 10:16AM EST,45.0,0.25,0.15,0.3,0.0,-,2,120,57.81%,59.07,0.225,0.225,0.004999999999999999,no
BBL,Put,BBL210319P00050000,2021-02-12 3:45PM EST,50.0,0.47,0.35,0.55,-0.26,-35.62%,3,119,50.00%,59.07,0.45,0.45,0.009000000000000001,no
BBL,Put,BBL210319P00055000,2021-02-12 3:45PM EST,55.0,1.47,1.1,1.6,-0.18,-10.91%,16,1032,47.36%,59.07,1.35,1.35,0.024545454545454547,yes
BBL,Put,BBL210319P00060000,2021-02-12 11:56AM EST,60.0,4.1,3.7,4.1,-0.6,-12.77%,1,1126,50.68%,59.07,3.9,3.9,0.065,no
BBL,Put,BBL210319P00065000,2021-01-29 2:26PM EST,65.0,12.1,7.6,8.1,0.0,-,3,6,57.13%,59.07,7.85,7.85,0.12076923076923075,no
LIN,Call,LIN210319C00130000,2021-02-10 9:43AM EST,130.0,123.89,0.0,0.0,0.0,-,-,-,0.00%,252.68,0.0,0.0,0.0,no
LIN,Call,LIN210319C00200000,2021-02-05 12:13PM EST,200.0,57.6,50.5,55.2,0.0,-,1,1,65.32%,252.68,52.85,52.85,0.2091578280829508,no
LIN,Call,LIN210319C00220000,2021-02-05 1:26PM EST,220.0,39.0,31.0,35.5,0.0,-,2,1,46.66%,252.68,33.25,33.25,0.13158936203894253,no
